,date,countryName,confirmedCount,nowconfirmedCount,curedCount,deadCount,countryShortEnglishName,countryEnglishName,deadRate,curedRate
0,2020-01-22,中国,544,499,28,17,China,China,3.125,5.147058823529411
1,2020-01-22,毛里塔尼亚,0,0,0,0,Mauritania,The Islamic Republic of Mauritania,,
2,2020-01-22,匈牙利,0,0,0,0,Hungary,Hungary,,
3,2020-01-22,荷属圣马丁,0,0,0,0,not value,not value,,
4,2020-01-22,缅甸,0,0,0,0,Myanmar,Burma,,
5,2020-01-22,厄立特里亚,0,0,0,0,Eritrea,not value,,
6,2020-01-22,洪都拉斯,0,0,0,0,Honduras,Honduras,,
7,2020-01-22,塞舌尔,0,0,0,0,Seychelles,Seychelles,,
8,2020-01-22,钻石公主号邮轮,0,0,0,0,Diamond Princess Cruise Ship,Diamond Princess Cruise Ship,,
9,2020-01-22,冈比亚,0,0,0,0,Gambia,Gambia,,
10,2020-01-22,斯威士兰,0,0,0,0,Swaziland,Swaziland,,
11,2020-01-22,开曼群岛,0,0,0,0,Cayman Is,Cayman Is,,
12,2020-01-22,圣卢西亚,0,0,0,0,Saint Lucia,St.Lucia,,
13,2020-01-22,直布罗陀,0,0,0,0,Gibraltar,Gibraltar,,
14,2020-01-22,尼加拉瓜,0,0,0,0,Nicaragua,Nicaragua,,
15,2020-01-22,毛里求斯,0,0,0,0,Mauritius,Mauritius,,
16,2020-01-22,乌克兰,0,0,0,0,Ukraine,Ukraine,,
17,2020-01-22,马耳他,0,0,0,0,Malta,Malta,,
18,2020-01-22,加蓬,0,0,0,0,Gabon,Gabon,,
19,2020-01-22,莫桑比克,0,0,0,0,Mozambique,Mozambique,,
20,2020-01-22,尼日利亚,0,0,0,0,Nigeria,Nigeria,,
21,2020-01-22,纳米比亚,0,0,0,0,Namibia,Namibia,,
22,2020-01-22,马约特,0,0,0,0,not value,not value,,
23,2020-01-22,关岛,0,0,0,0,Guam,Guam,,
24,2020-01-22,白俄罗斯,0,0,0,0,Belarus,Belarus,,
25,2020-01-22,斯洛文尼亚,0,0,0,0,Slovenia,Slovenia,,
26,2020-01-22,希腊,0,0,0,0,Greece,Greece,,
27,2020-01-22,阿富汗,0,0,0,0,Afghanistan,Afghanistan,,
28,2020-01-22,克罗地亚,0,0,0,0,Croatia,Croatia,,
29,2020-01-22,乌干达,0,0,0,0,Uganda,Uganda,,
30,2020-01-22,马来西亚,0,0,0,0,Malaysia,Malaysia,,
31,2020-01-22,尼日尔,0,0,0,0,Niger,Niger,,
32,2020-01-22,比利时,0,0,0,0,Belgium,Belgium,,
33,2020-01-22,罗马尼亚,0,0,0,0,Romania,Romania,,
34,2020-01-22,厄瓜多尔,0,0,0,0,Ecuador,Ecuador,,
35,2020-01-22,北爱尔兰,0,0,0,0,Northern Ireland,Northern Ireland,,
36,2020-01-22,荷兰加勒比地区,0,0,0,0,not value,not value,,
37,2020-01-22,海地,0,0,0,0,Haiti,Haiti,,
38,2020-01-22,塞浦路斯,0,0,0,0,Cyprus,Cyprus,,
39,2020-01-22,百慕大,0,0,0,0,Bermuda,not value,,
40,2020-01-22,斯洛伐克,0,0,0,0,Slovakia,Slovakia,,
41,2020-01-22,库拉索岛,0,0,0,0,Curaçao,not value,,
42,2020-01-22,阿塞拜疆,0,0,0,0,Azerbaijan,Azerbaijan,,
43,2020-01-22,乌兹别克斯坦,0,0,0,0,Uzbekistan,Uzbekistan,,
44,2020-01-22,圣巴泰勒米,0,0,0,0,Saint Barthelemy,Saint Barthelemy,,
45,2020-01-22,叙利亚,0,0,0,0,Syria,Syria,,
46,2020-01-22,墨西哥,0,0,0,0,Mexico,Mexico,,
