date,province,city,confirm,suspect,heal,dead
2020-01-24,云南,昆明,3,0,0,0
2020-01-24,云南,西双版纳州,1,0,0,0
2020-01-24,云南,丽江市,1,0,0,0
2020-01-24,广东,深圳,15,0,2,0
2020-01-24,广东,珠海,8,0,0,0
2020-01-24,广东,佛山,7,0,0,0
2020-01-24,广东,广州,7,0,0,0
2020-01-24,广东,惠州,5,0,0,0
2020-01-24,广东,韶关,3,0,0,0
2020-01-24,广东,阳江,3,0,0,0
2020-01-24,广东,湛江,2,0,0,0
2020-01-24,广东,中山,2,0,0,0
2020-01-24,广东,肇庆,1,0,0,0
2020-01-24,广东,清远,1,0,0,0
2020-01-24,浙江,台州,18,0,0,0
2020-01-24,浙江,杭州,6,0,0,0
2020-01-24,浙江,温州,6,0,1,0
2020-01-24,浙江,宁波,5,0,0,0
2020-01-24,浙江,嘉兴,3,0,0,0
2020-01-24,浙江,衢州,2,0,0,0
2020-01-24,浙江,舟山,1,0,0,0
2020-01-24,浙江,绍兴,1,0,0,0
2020-01-24,浙江,金华,1,0,0,0
2020-01-24,北京,外地来京人员,10,0,0,0
2020-01-24,北京,海淀,6,0,0,0
2020-01-24,北京,朝阳,5,0,0,0
2020-01-24,北京,西城,4,0,0,0
2020-01-24,北京,昌平,3,0,0,0
2020-01-24,北京,大兴,2,0,1,0
2020-01-24,北京,丰台,2,0,0,0
2020-01-24,北京,通州,2,0,0,0
2020-01-24,北京,石景山,1,0,0,0
2020-01-24,北京,顺义,1,0,0,0
2020-01-24,重庆,万州区,3,0,0,0
2020-01-24,重庆,巫山县,3,0,0,0
2020-01-24,重庆,长寿区,3,0,0,0
2020-01-24,重庆,垫江县,2,0,0,0
2020-01-24,重庆,永川区,2,0,0,0
2020-01-24,重庆,九龙坡区,2,0,0,0
2020-01-24,重庆,渝北区,2,0,0,0
2020-01-24,重庆,开州区,2,0,0,0
2020-01-24,重庆,涪陵区,1,0,0,0
2020-01-24,重庆,大渡口区,1,0,0,0
2020-01-24,重庆,忠县,1,0,0,0
2020-01-24,重庆,云阳县,1,0,0,0
2020-01-24,重庆,奉节县,1,0,0,0
2020-01-24,重庆,巫溪县,1,0,0,0
2020-01-24,重庆,秀山县,1,0,0,0
2020-01-24,重庆,两江新区,1,0,0,0
2020-01-24,湖南,长沙,8,0,0,0
2020-01-24,湖南,永州,4,0,0,0
2020-01-24,湖南,怀化,3,0,0,0
2020-01-24,湖南,岳阳,3,0,0,0
2020-01-24,湖南,娄底,3,0,0,0
2020-01-24,湖南,郴州,1,0,0,0
2020-01-24,湖南,株洲,1,0,0,0
2020-01-24,湖南,湘潭,1,0,0,0
2020-01-24,四川,成都,7,0,0,0
2020-01-24,四川,广安,2,0,0,0
2020-01-24,四川,绵阳,2,0,0,0
2020-01-24,四川,达州,1,0,0,0
2020-01-24,四川,德阳,1,0,0,0
2020-01-24,四川,遂宁,1,0,0,0
2020-01-24,四川,雅安,1,0,0,0
2020-01-24,山东,青岛,4,0,0,0
2020-01-24,山东,威海,2,0,0,0
2020-01-24,山东,临沂,2,0,0,0
2020-01-24,山东,济南,2,0,0,0
2020-01-24,山东,烟台,2,0,0,0
2020-01-24,山东,潍坊,1,0,0,0
2020-01-24,山东,日照,1,0,0,0
2020-01-24,山东,济宁,1,0,0,0
2020-01-24,安徽,合肥,6,0,0,0
2020-01-24,安徽,六安,2,0,0,0
2020-01-24,安徽,阜阳,2,0,0,0
2020-01-24,安徽,滁州,1,0,0,0
2020-01-24,安徽,亳州,1,0,0,0
2020-01-24,安徽,安庆,1,0,0,0
2020-01-24,安徽,池州,1,0,0,0
2020-01-24,安徽,蚌埠,1,0,0,0
2020-01-24,广西,北海,6,0,0,0
2020-01-24,广西,柳州,2,0,0,0
2020-01-24,广西,桂林,2,0,0,0
2020-01-24,广西,梧州,1,0,0,0
2020-01-24,广西,百色,1,0,0,0
2020-01-24,广西,河池,1,0,0,0
2020-01-24,河南,郑州,3,0,0,0
2020-01-24,河南,巩义,2,0,0,0
2020-01-24,河南,洛阳,1,0,0,0
2020-01-24,河南,三门峡,1,0,0,0
2020-01-24,河南,信阳,1,0,0,0
2020-01-24,河南,周口,1,0,0,0
2020-01-24,江苏,南京,3,0,0,0
2020-01-24,江苏,苏州,2,0,0,0
2020-01-24,江苏,连云港,1,0,0,0
2020-01-24,江苏,扬州,1,0,0,0
2020-01-24,江苏,南通,1,0,0,0
2020-01-24,江苏,无锡,1,0,0,0
2020-01-24,海南,海口,3,0,0,0
2020-01-24,海南,三亚,2,0,0,0
2020-01-24,海南,万宁,2,0,0,0
2020-01-24,海南,临高县,1,0,0,0
2020-01-24,江西,南昌,2,0,0,0
2020-01-24,江西,抚州,1,0,0,0
2020-01-24,江西,萍乡,1,0,0,0
2020-01-24,江西,九江,1,0,0,0
2020-01-24,江西,新余,1,0,0,0
2020-01-24,江西,吉安,1,0,0,0
2020-01-24,陕西,西安,2,0,0,0
2020-01-24,陕西,咸阳,1,0,0,0
2020-01-24,陕西,安康,1,0,0,0
2020-01-24,陕西,延安,1,0,0,0
2020-01-24,辽宁,沈阳,2,0,0,0
2020-01-24,辽宁,大连,1,0,0,0
2020-01-24,辽宁,朝阳,1,0,0,0
2020-01-24,福建,福州,5,0,0,0
2020-01-24,福建,厦门,3,0,0,0
2020-01-24,福建,泉州,1,0,0,0
2020-01-24,福建,宁德,1,0,0,0
2020-01-24,福建,漳州,0,1,0,0
2020-01-24,福建,三明,0,1,0,0
2020-01-24,湖北,武汉,495,0,31,23
2020-01-24,湖北,孝感,22,0,0,0
2020-01-24,湖北,黄冈,12,0,0,0
2020-01-24,湖北,荆州,8,0,0,0
2020-01-24,湖北,荆门,8,0,0,0
2020-01-24,湖北,仙桃,2,0,0,0
2020-01-24,湖北,宜昌,1,0,0,1
2020-01-24,湖北,十堰,1,0,0,0
2020-01-24,河北,石家庄,1,0,0,0
2020-01-24,河北,沧州,1,0,0,1
